Incident ID,Month,Year,State,City Or County,Address,# Killed,# Injured,Operations
1852997,11,2020,Texas,Arlington,6300 block of Brownlee Dr,1,0,N/A
1852963,11,2020,Minnesota,Saint Cloud,800 block of 10th Ave N,1,0,N/A
1851421,11,2020,Texas,San Antonio,1100 Callaghan Rd,1,0,N/A
1851320,11,2020,Nebraska,Lincoln,700 block of Lakeside Dr,1,0,N/A
1851996,11,2020,Mississippi,Aberdeen,307 Hardy St,1,0,N/A
1850685,11,2020,North Carolina,Candor,N/A,1,0,N/A
1849722,11,2020,Virginia,Springfield,6868 Springfield Blvd,1,0,N/A
1848173,11,2020,Missouri,Blue Springs,814 N Hwy 7,1,0,N/A
1849742,11,2020,Colorado,Grand (county),N/A,1,0,N/A
1846835,11,2020,California,Pasadena,1750 N Altadena Dr,1,0,N/A
1846012,11,2020,New York,Penfield,1570 Penfield Rd,1,0,N/A
1846163,11,2020,Utah,Midvale,7020 S 700 W,1,1,N/A
1845659,11,2020,South Carolina,Columbia (Fort Jackson),N/A,1,0,N/A
1845637,11,2020,Georgia,Atlanta,2485 Gresham Rd,1,0,N/A
1845477,11,2020,Louisiana,New Orleans,8622 Belfast St,2,2,N/A
1846147,11,2020,Kansas,Ashland,300 block of Highland Ave,1,0,N/A
1844038,11,2020,Florida,Port Salerno,SE Bollard Ave,1,0,N/A
1844709,11,2020,Oklahoma,Tulsa,700 block of N Sheridan Rd,1,0,N/A
1844027,11,2020,Florida,Fort Lauderdale (Dania Beach),3325 Griffin Rd,1,0,N/A
1842790,11,2020,Virginia,Petersburg,3700 block of Totty St,1,0,N/A
1842777,11,2020,Michigan,Jackson,1300 block of E North St,1,0,N/A
1842070,11,2020,New York,New York (Manhattan),2937 Frederick Douglas Blvd,1,0,N/A
1842725,11,2020,Florida,Palm Beach Gardens,4500 Block of Artesa Way S,1,0,N/A
1838938,10,2020,Texas,Corpus Christi,5400 block of S Alameda St,1,0,N/A
1838373,10,2020,North Carolina,Concord,1080 Ramsgate Dr SW,1,0,N/A
1839242,10,2020,Michigan,Detroit,15800 block of Kentucky Ave,1,0,N/A
1838884,10,2020,Florida,Palm Beach Gardens (Riviera Beach),3700 N Ocean Dr,1,0,N/A
