Incident ID,Month,Year,State,City Or County,Address,# Killed,# Injured,Operations
1975963,4,2021,Texas,El Paso,6645 Gateway Blvd,0,1,N/A
1975590,4,2021,Georgia,Atlanta,3843 Jonesboro Rd SE,0,1,N/A
1975657,4,2021,South Carolina,Lamar,Lynches River Rd,0,1,N/A
1976287,4,2021,Michigan,Manistee,1300 block of Udell Hills Rd,0,1,N/A
1975083,4,2021,Missouri,Saint Louis,N 20th St,0,1,N/A
1974088,4,2021,Tennessee,Memphis,385 Western Park Dr,1,3,N/A
1973745,4,2021,Iowa,Des Moines,Court Ave,0,3,N/A
2009473,4,2021,Pennsylvania,Lansdale,600 block of Rosemont Ave,0,1,N/A
1976634,4,2021,Tennessee,Mcminnville,915 N Chancery St,0,1,N/A
2006985,4,2021,Kentucky,Murray,2851 Kirksey Rd,0,1,N/A
1973844,4,2021,Texas,Fort Worth,2000 block of SW Loop 820,1,5,N/A
1975850,4,2021,North Carolina,Salisbury,251 Faith Rd,0,1,N/A
1973077,4,2021,Minnesota,Saint Paul,600 block of Case Ave,0,1,N/A
1973421,4,2021,California,Fresno,American Ave and Hills Valley Rd,0,1,N/A
1975467,4,2021,District of Columbia,Washington,600 block of Farragut St,0,1,N/A
1972589,4,2021,California,Fresno,Kern St and Collins Ave,0,2,N/A
1979020,4,2021,Pennsylvania,Beaver Creek,Middle Creek Rd,0,1,N/A
1972711,4,2021,Louisiana,Shreveport,Wisteria St and Lotus Ln,0,1,N/A
1973393,4,2021,Colorado,Colorado Springs,N Murray Blvd and E Platte Ave,0,2,N/A
1971359,4,2021,South Carolina,Lugoff,N/A,0,1,N/A
1971331,4,2021,New York,New York (Manhattan),W 38th St and Eighth Ave,0,1,N/A
1975057,4,2021,Missouri,Joplin,Kentucky Ave,0,1,N/A
1971140,4,2021,Florida,Crescent City,300 S Summit St,0,1,N/A
1978961,4,2021,Florida,Homosassa,N/A,0,1,N/A
1984484,4,2021,Virginia,Virginia Beach,565 Newtown Rd,0,1,N/A
1970666,4,2021,California,Hanford,N Greenfield Ave,0,1,N/A
1970162,4,2021,Virginia,Danville,1200 block of N Main St,0,1,N/A
1970227,4,2021,Georgia,Atlanta,741 Joseph E Boone Blvd NW,0,1,N/A
